CPT Code,Description
82274,The lab analyst uses an immunoassay method to perform a test for hidden blood in a fecal specimen that the patient collects from three consecutive bowel movements or that the clinician acquires through a method such as a digital rectal exam. Clinicians commonly call the test a fecal immunochemical test (FIT).
99000,Use this code for the in office preparation of a specimen for lab analysis and or its transport from the office to the outside testing laboratory.
82272,"The lab analyst uses a peroxidase activity method to perform a test for the presence of hidden blood in a fecal specimen that the patient collects from three consecutive bowel movements, or that the clinician acquires through a method such as a digital rectal exam. Clinicians commonly call the test a fecal occult blood test (FOBT). The test is for a reason other than colorectal neoplasm screening."
99994,Failed to retrieve the page. Status code: 404
20610,"In this procedure, the provider inserts a needle through the skin of a patient and into a major joint or bursa and then uses the syringe attachment to the needle to remove fluid or he may inject a drug into the joint for therapeutic purpose. He performs this procedure without using ultrasound guidance."
88160,"The lab analyst performs the technical lab test to analyze a cytopathology smear for screening and interpretation purposes. Specific codes are available for cervical, vaginal, fine needle aspirates, body fluids, washings, etc., and you should use 88160 only if there is no other more specific code available."
94761,The provider takes multiple measurements of the patient’s oxygen saturation using a sensor on the ear or finger.
11200,"The provider removes skin tags in any area of the body, up to and including 15 lesions."
90734,"The provider administers a meningococcal conjugate vaccine in a diphtheria toxoid carrier (MenACWY–D) or CRM197 carrier (MenACWY–CRM) to protect the patient from four strains of meningococcal viruses that cause diseases like meningitis, a life–threatening infection of the lining of the brain and spinal cord, or infections of the blood such as septicemia, also referred to as sepsis."
99455,"The provider evaluates the patient for any work related or medical reasons. He provides this service to both new and established patients, irrespective of the place of service."
97760,"In this service, the provider trains a patient on the use of an orthotic device on the upper extremity, lower extremity, and/or trunk. He may also assess and adjust the fit for the device. In addition, he develops a treatment plan based on his assessment of the patient’s needs and functional ability. Use this code for each 15 minutes of the initial encounter for management and training of patients with upper or lower extremity and/or trunk orthotics."
36410,"In this procedure, the provider inserts a needle into a vein to withdraw blood or infuse a drug for a patient who is three years old or older."
73140,"In this diagnostic procedure, the provider performs a radiological study of one or more fingers. He performs two or more views."
87426,"The lab analyst performs an immunoassay to qualitatively or semiquantitatively evaluate the patient blood specimen for antigens of severe acute respiratory syndrome coronavirus such as SARS–CoV–2, which causes coronavirus disease 2019 (COVID–19)."
93268,"In this service, the provider uses electrocardiographic leads and a monitor to assess the occurrence of cardiac events in a patient, even when the patient is at home. He records the data throughout the day, interprets the data, and reports the findings."
99409,The provider spends more than 30 minutes screening a patient for abuse of alcohol or another non–tobacco substance. The provider then performs a brief intervention at the same session.
57505,"In this procedure, the provider collects tissue samples from the endocervix using a curette, but the procedure is not part of a dilation and curettage."
99447,"A consulting physician or other qualified healthcare professional performs an 11– to 20–minute consult via telephone, internet, or electronic health record (EHR) and provides a verbal and written report to the requesting physician/qualified healthcare professional."
96365,"The provider administers the initial intravenous infusion of a medication or other substance for a period up to one hour to prevent, treat, or diagnose a condition or disease."
93000,"The provider records the electrical conduction of the heart to examine any abnormality in its functioning, based on signals from at least 12 leads, wires that connect the recording device to electrodes placed in different locations on the body. He interprets the electrocardiogram and completes a report on the findings."
87430,"The lab analyst performs an assay to evaluate the patient’s sample for antigens to Streptococcus, group A, using an immunoassay method, such as EIA."
99214,"The provider sees an established patient for an office visit or other outpatient visit involving evaluation and management. The visit involves a moderate level of medical decision making, and/or the provider spends 30 minutes or more of total time on the encounter on a single date."
91313,No Summary found for this code
99496,"The provider manages the care of a patient during the transition to home care after discharge from a healthcare facility. The patient’s care requires high–level medical decision making, contact within two business days, and a face–to–face visit within seven days of discharge."
72050,"In this diagnostic procedure, the provider performs four to five X–ray views of the cervical spine. The provider performs this cervical radiological study to examine the spine for conditions affecting the spine such as abnormal curves, fractures, or cancer."
96373,"The provider administers a medication or other substance via an artery to treat, prevent, or diagnose a condition."
99382,The provider performs a well–patient visit for a child who is between the ages of 1 and 4 who meets the definition of new patient.
17111,"The provider destroys benign lesions using techniques such as chemosurgery, cryosurgery, electrosurgery, or others. This code reports the destruction of 15 lesions or more, other than skin tags or cutaneous vascular proliferative lesions."
97161,"The provider, typically a physical therapist, conducts a physical therapy evaluation that includes history to rule out any adverse factors that will affect care; observes whether the patient's current status is stable and uncomplicated; and assess one to two elements relating to body structure and function, and limitations, such as joint flexibility, muscle strength, gait, mobility, and neuromuscular function. She uses standardized tests and measures and employs clinical decision–making of low complexity, typically involving 20 minutes of face–to–face time with the patient or family or both."
90655,"The provider injects into a patient’s muscle an altered form of a preservative–free, influenza split virus, in a 0.25 mL dose to provide immunity to three forms of influenza, a severe and infectious respiratory disease."
93242,"In this procedure, the provider applies an electrocardiographic, or ECG recorder, to a patient who wears it for more than 48 hours, up to seven days, to help detect abnormal heart rates and rhythms. This service includes recording and storing the electrocardiographic findings."
99995,Failed to retrieve the page. Status code: 404
12002,"This CPT code is used for the simple repair of superficial wounds to the scalp, neck, axillae, external genitalia, trunk, and/or extremities (including the hands and feet) that are 2.6 to 7.5 cm in size."
91307,No Summary found for this code
99215,"The provider sees an established patient for an office visit or other outpatient visit involving evaluation and management. The visit involves a high level of medical decision making, and/or the provider spends 40 or more minutes of total time on the encounter on a single date."
11000,The provider uses surgical instruments to debride the dead tissue in skin for up to 10 percent of the body surface.
90750,The provider injects an adjuvanted vaccine into a muscle to protect the patient against varicella zoster infection.
99381,The provider performs a well–baby visit for a child under the age of one.
87502,The lab analyst performs a test to determine the presence of multiple types or subtypes of influenza virus through nucleic acid detection using multiplex amplified probe technique and possibly multiplex reverse transcription. Use this code to report the first two types or subtypes.
20200,A muscle biopsy is a surgical procedure to obtain sample of superficial muscle tissue to further analyze a suspected medical condition or infection. Superficial muscle tissue is just below the surface of the skin or fascia.
90619,"Report this code for meningococcal conjugate vaccine in a tetanus toxoid carrier for intramuscular administration that protects against four common forms of the virus and to prevent the patient from getting a meningococcal disease like meningitis, a life–threatening infection of the lining of the brain and spinal cord, or infections of the blood such septicemia, also referred to as sepsis."
90710,"The provider administers a live combination vaccine for measles, mumps, varicella and rubella virus subcutaneously to prevent these diseases."
98969,No Summary found for this code
76857,"A pelvic ultrasound is a noninvasive procedure used to assess one or more pelvic structures, such as bladder, ovaries, uterus, cervix, and fallopian tubes in females and the bladder, prostate gland, and seminal vesicles in males. Images are displayed on a monitor and also recorded for a permanent record."
82948,The clinician performs a test to measure the amount of glucose in a patient's blood using a reagent strip test method.
99439,"The clinical staff provides services directed by the provider to support and coordinate a patient’s care across multiple disciplines. The patient has two or more chronic conditions that place the patient at significant risk of death, acute exacerbation, decompensation, or functional decline. Use this code for each additional 20 minutes of provider–directed clinical staff time per calendar month."
90732,The provider intramuscularly or subcutaneously injects pneumococcal polysaccharide vaccine in an individual two years or older. This vaccine provides protection against meningitis and pneumonia that Streptococcus pneumonia causes.
87635,"Using an amplified nucleic acid probe technique, the lab analyst performs the necessary steps to identify the nucleic acids from the severe acute respiratory syndrome coronavirus 2 (SARS–COV–2) virus ), which causes coronavirus disease 2019 (COVID–19)."
99452,"The provider, a treating or requesting physician or other qualified healthcare professional, spends 30 minutes providing healthcare information about a patient to a consultant via various electronic media."
99474,"The patient measures her blood pressure using a validated blood pressure device, taking two readings one minute apart twice a day over a 30–day period. She takes a minimum of 12 readings and reports them to the provider. The provider collects the data, averages the systolic and diastolic blood pressures, prepares a report, and discusses a treatment plan with the patient."
11103,The provider biopsies an additional skin lesion using a tangential (side–ways) approach; he shaves off the lesion or scoops it out with a knife or curette. Report +11103 for each separate lesion biopsied in addition to the primary code 11102.
73110,"The provider takes at least three X–ray images of a patient’s complete wrist to check for any fracture, swelling, or reason of pain in the wrist area."
81025,The lab analyst performs the pregnancy test on a urine specimen using a methodology or kit that the analyst can read visually for a direct readout.
87811,"The lab analyst performs the technical lab test to analyze for the presence of severe acute respiratory syndrome coronavirus 2 (SARS–CoV–2) (Coronavirus disease [COVID–19]) in a specimen by immunoassay using direct optical, meaning visual, observation."
93042,"The provider interprets a recording of the electrical conduction of the heart to examine any abnormality in its functioning using a maximum of three leads, wires that connect the recording device to electrodes placed in different locations on the body. He completes a report on the findings."
99080,The provider completes forms or reports related to the patient's status or situation in addition to standard documentation.
90657,"The provider injects into a patient’s muscle an altered form of an influenza split virus, in a 0.25 mL dose to provide immunity to three forms of influenza, a severe and infectious respiratory disease."
57421,"In this procedure, the provider performs a diagnostic examination of the vagina and the cervix, if present. It includes a biopsy of vagina/cervix."
88175,"The lab analyst performs the technical lab test to analyze a cervical or vaginal cytopathology specimen that a clinician collected in preservative fluid. The test uses automated thin layer preparation for the specimen followed by screening with an automated system and manually rescreening or review, all under a physician’s supervision. The test may apply to any reporting system, such as Bethesda or non–Bethesda."
81528,The lab analyst uses a stool sample and performs the technical lab tests for a fecal hemoglobin test and for real time amplification of 10 DNA markers. The lab analyst then carries out an algorithmic analysis using patient data and the lab test results to report a positive or negative colon cancer screening test result.
99344,The provider sees a new patient for a home or residence visit involving evaluation and management (E/M). The visit involves a moderate level of medical decision making or the provider spends at least 60 minutes of total time on the encounter on a single date.
93784,"The provider prescribes ambulatory blood pressure monitoring in which a patient wears a device continuously that automatically measures blood pressure at intervals over a period of 24 hours and stores the results. The provider scans the data, interprets it, and reports his findings."
95943,No Summary found for this code
15853,"As an add–on to an evaluation and management service, the provider removes sutures or staples."
99345,The provider sees a new patient for a home or residence visit involving evaluation and management (E/M). The visit involves a high level of medical decision making or the provider spends at least 75 minutes of total time on the encounter on a single date.
51702,"The bladder catheter CPT® codes provide options for reporting the procedures that best reflect the exact anatomic location of a catheter insertion, the type of catheter inserted, and, in some cases, the reason for the bladder catheter. The codes differentiate between indwelling and non–indwelling catheterization."
15850,No Summary found for this code
90698,"The provider administers a combination vaccine intramuscularly to protect a patient against five serious diseases: diphtheria, tetanus, pertussis, or whooping cough, Haemophilus influenzae type B infections and poliomyelitis, or polio."
99177,The provider uses instruments to conduct a vision screening exam to analyze both eyes to diagnose ocular or eye–related diseases. Both the screening and analysis take place on–site.
31000,"In this procedure, the provider inserts a flexible cannula in the maxillary sinus through a cut in the antrum or through a natural opening to wash out the contents of the maxillary sinus."
93270,"In this service, the provider monitors the patient’s heart rhythm while the patient is experiencing cardiac symptoms. He places electrocardiogram leads of an event recorder on the patient's chest, which can record and transmit the patient’s heart rhythm information for up to 30 days. The patient uses the device to transmit the ECG tracing before and during symptoms such as chest pain. Subsequently, the provider will analyze and advise the patient on the most appropriate action to take. This code represents the technical component of the recording only, or the connection, recording, and disconnection of the device."
99203,"The provider sees a new patient for an office visit or other outpatient visit involving evaluation and management. The visit involves a low level of medical decision making, and/or the provider spends 30 or more minutes of total time on the encounter on a single date."
73501,"In this diagnostic procedure, the provider takes an X–ray image of one hip, either left or right, from a single projection (direction or angle) to check for  fracture, swelling, or other reason for pain in the hip area, including pelvis when performed."
69209,The provider flushes or washes (irrigation/lavage) out the entrapped wax (cerumen) from a patient’s external ear canal with a stream of water to correct hearing loss or discomfort.
69200,The provider removes a foreign body from the external auditory canal without the use of general anesthesia.
51701,"In this procedure, the provider places a non–indwelling catheter into the bladder via the urethra for the purpose of intermittent catheterization or catheterization to obtain residual urine left after voiding. A non–indwelling catheter is one that the provider places temporarily and removes after its purpose is complete, usually on the same day."
97530,The provider uses various activities during direct contact with the patient to improve the patient’s functional performance. Use this code for each 15 minutes of activity.
80304,No Summary found for this code
99002,"In this procedure, the provider prescribes an orthotic, prosthetic, or any other medical device. He performs all the tasks associated with providing the device to the patient, including measurement, selection, ordering, procuring, fitting, and final application of the device to the patient."
11102,The provider biopsies a single skin lesion using a tangential (side–ways) approach; he shaves off the lesion or scoops it out with a knife or curette.
85018,The lab analyst measures the hemoglobin in a whole blood sample. Hemoglobin is the red pigmented iron compound contained in the red blood cell that combines with oxygen needed by the body tissue.
80100,No Summary found for this code
82962,"Blood glucose monitoring at home with small electronic devices is an easy method to check blood sugar level on a daily basis. The patient himself can perform the procedure and the result is obtained instantly. This method is also known as the ""fingerstick method."" Remember that blood glucose monitoring at home is done using FDA–approved devices."
29130,"The provider applies a static, or rigid, splint to hold a finger or fingers in a fixed position and not permit any movement, allowing a sprain or fracture to heal."
29580,"The provider applies an Unna boot, a spiral compression dressing, made of cotton and zinc oxide paste or other emollients, that keeps the skin moist and free of irritation while applying pressure to the leg. Unna boots treat venous stasis ulcers by controlling blood flow in the leg and providing a stable environment for ulcer healing. Unna boots also provide healing properties for strains and sprains."
99457,"The provider monitors a patient’s remote physiologic recordings and/or programmed alerts and interacts with the patient or caregiver to adjust treatment based on the recordings. Report this code for the first 20 minutes of clinical staff, physician, or other qualified healthcare provider time spent providing this service."
99487,"The clinical staff provides services directed by the provider to support and coordinate a patient’s care across multiple disciplines. The patient has two or more chronic conditions that place the patient at significant risk of death, acute exacerbation, decompensation, or functional decline. Use this code for the first 60 minutes of provider–directed clinical staff time per calendar month."
82270,The lab analyst uses a peroxidase activity method to perform a colorectal cancer screening test for the presence of hidden blood in a fecal specimen that the patient collects from three consecutive bowel movements. Clinicians commonly call the test a fecal occult blood test (FOBT).
11301,"The provider shaves off a single epidermal or dermal lesion of 0.6 to 1.0 cm in diameter from the skin of the trunk, arms, or legs."
90460,"In this procedure, the provider administers a single live attenuated vaccine through a parenteral, oral, intranasal, intramuscular, or intravenous to a patient up to 18 years of age."
80061,The lab analyst performs a lipid panel test in which he measures the blood level of cholesterol and fats called triglycerides in the blood.
99490,"The clinical staff provides services directed by the provider to support and coordinate a patient’s care across multiple disciplines. The patient has two or more chronic conditions that place the patient at significant risk of death, acute exacerbation, decompensation, or functional decline. Use this code for the first 20 minutes of provider–directed clinical staff time per calendar month."
99407,The provider counsels the patient on how to stop tobacco use. The counseling lasts more than 10 minutes.
99050,"In this procedure, the provider renders services to a patient in his office at a time when that office would otherwise be closed."
99349,The provider sees an established patient for a home or residence visit involving evaluation and management (E/M). The visit involves moderate medical decision making or the provider spends at least 40 minutes of total time on the encounter on a single date.
96372,"A therapeutic, prophylactic, or diagnostic substance (a fluid, a drug, etc.) is injected via intramuscular or subcutaneous route into the patient's body. The procedure is performed by the physician himself or by his assistant or nurse under direct supervision of the physician. Injection of a vaccine or toxoid is not included in this code."
99354,No Summary found for this code
86631,"The lab analyst performs a technical lab test, typically on serum, to test for chlamydia antibodies, excluding IgM. Chlamydial bacterial infections can cause a common sexually transmitted disease as well as pneumonia and conjunctivitis."
99205,"The provider sees a new patient for an office visit or other outpatient visit involving evaluation and management. The visit involves a high level of medical decision making, and/or the provider spends 60 or more minutes of total time on the encounter on a single date."
73521,"In this diagnostic procedure, the provider takes two X–ray images from different projections (directions or angles) of both hips, left and right, to check for fracture, swelling, or other reasons for pain in the hip area, including pelvis when performed."
91305,No Summary found for this code
91312,No Summary found for this code
15852,"The provider changes the dressing on a wound, unrelated to a burn, in a patient who requires general anesthesia due to the painful nature of the dressing change or in a patient unable to cooperate with a dressing change while awake."
76705,"An abdominal ultrasound is a noninvasive procedure used to assess the body parts within the abdomen (i.e. liver, gallbladder, pancreas, bile ducts, spleen, and abdominal aorta). This particular code is used when the ultrasound is limited (of a single organ, quadrant, or used for follow–up) and requires real time image documentation."
76815,The provider performs a limited examination of the fetus using ultrasound. The provider performs the examination of certain parameters for one or more fetuses.
96127,The provider performs a brief emotional/behavioral assessment of the patient using a standardized instrument (such as a recognized form). The provider scores and documents the assessment.
96132,"The provider, a physician or other qualified healthcare professional, spends up to one hour administering neuropsychological tests, which includes time spent face–to–face with the patient in performing the tests, interpretation of the outcome, and preparation of the report. The code includes time spent in discussion of the outcome with the patient and family members or caregivers."
99347,The provider sees an established patient for a home or residence visit involving evaluation and management (E/M). The visit involves straightforward medical decision making or the provider spends at least 20 minutes of total time on the encounter on a single date.
90713,The provider administers an inactivated poliovirus vaccine either subcutaneously or intramuscularly to prevent the patient from getting polio.
99387,The provider performs a well–patient visit for a patient who is 65 years or older.
11056,The provider removes 2 to 4 benign hyperkeratotic lesions by using surgical instruments like a scalpel or curette.
82607,"The lab analyst performs a test to measure the amount of vitamin B12 in a patient specimen, typically in patient blood."
76706,"The provider performs an ultrasound (a noninvasive imaging procedure that uses high–frequency sound waves) of the abdominal aorta, the largest artery supplying blood and oxygen to organs and structures in the abdominal cavity in order to screen for an aneurysm, a weakness in the vessel wall that causes it to balloon out."
99411,The provider offers advice on maintaining and improving health to a group of patients for roughly half an hour.
93224,"In this procedure, the provider applies an electrocardiographic, or ECG recorder, to a patient for up to 48 hours to detect abnormal heart rates and rhythms. He analyzes, compiles, and interprets the electrocardiographic findings."
91300,No Summary found for this code
99391,"Preventive medicine services are provided to individuals who are not in need of any immediate medical attention, but need to undergo a periodic health checkup as a preventive measure. Well–baby visits, well–woman visits, and routine annual physical check–ups come under the purview of preventive medicine reevaluation and management services. These visits are different from other visits where the patient has a problem for which medical attention is sought. The age, gender, and associated risk factors of the person are important considerations while providing a preventive medicine service. The physician performs a comprehensive review of systems, comprehensive past family and social history (PFSH), and makes a thorough assessment of age and gender–related risk factors. The physician may order and obtain diagnostic/laboratory procedures and administer immunizations during the preventive service."
97803,The provider reassesses the dietary needs of a patient and uses specific diet therapy to treat medical conditions and related symptoms by interacting individually with the patient. This code represents each 15 minutes of the reassessment on a subsequent visit with the patient.
85025,"A complete blood count (better known as a CBC) is a blood test request by a doctor that provides detailed information about various types of cells in a patient's blood. Usually a pathologist or a technician conducts the test and provides the results of CBC to the requesting doctor. The blood is drawn from the patient's vein using a syringe and is stored in a test tube containing an anticoagulant (usually EDTA or citrate) to prevent clotting and transported to laboratory.  Nowadays, most often, the cell counting process is done in an automated way using an instrument known as an ""automated analyzer"". The automatic cell counter counts the number of different cells in the blood and the results are printed out for review by the physician."
91306,No Summary found for this code
15851,"With the patient under general anesthesia or moderate sedation, the provider removes sutures or staples."
90740,This code represents a vaccine product administered intramuscularly to protect against the liver disease hepatitis B. The vaccine has a three–dose schedule. The dosage is for patients who are immunosuppressed or undergoing dialysis.
99495,"The provider manages the care of a patient during the transition to home care after discharge from a healthcare facility. The patient’s care requires at least moderate medical decision making, contact within two business days, and a face–to–face visit within 14 days of discharge."
11310,"The provider shaves off a single epidermal or dermal lesion of 0.5 cm or less in diameter from the face, ears, eyelids, nose, lips, or mucous membranes."
93248,"After a patient has worn an electrocardiographic, or ECG recorder, for more than seven days, up to 15 days, to detect abnormal heart rates and rhythm, the provider completes a review and interpretation of the electrocardiographic findings."
72040,The patient has a 2– or 3–view X–ray of the neck vertebrae.
76810,"In this add–on procedure, the provider performs a transabdominal ultrasound to examine each additional gestation sac, or fetus, after the first trimester."
99341,The provider sees a new patient for a home or residence visit involving evaluation and management (E/M). The visit involves straightforward medical decision making or the provider spends at least 15 minutes of total time on the encounter on a single date.
57420,"In this procedure, the provider performs a diagnostic examination of the vagina and cervix, if present, using a colposcope."
99406,"The provider counsels the patient on how to stop tobacco use. The counseling lasts more than three minutes, up to 10 minutes."
20605,"In this procedure, the provider inserts a needle through the skin of a patient and into an intermediate joint or bursa and then uses the syringe attachment to the needle to remove fluid or he may inject a drug into the joint for therapeutic purposes. He performs this procedure without using ultrasound guidance."
95012,The provider performs a test involving nitric oxide exhaled by a patient into a nitric oxide monitoring system. The test helps with checking the level of inflammation in the airways of a patient who is suspected to have or is confirmed to have an airway inflammation disease such as bronchial asthma.
11721,"The provider surgically debrides (debulks or removes) 6 or more abnormal, diseased, or infected nails."
81000,"The lab analyst inserts a dip stick into a freshly collected urine specimen, removes the dip stick, and shakes off the excess urine. Alternatively, the analyst may place drops of the urine specimen on a reagent tablet. Then after the proper time interval, the lab analyst manually reads the results for one or more ordered analytes using a color chart usually located on the outside of the container. The lab analyst will also perform a microscopic analysis, typically on a centrifuged specimen. The lab analyst views the sedimented specimen under the microscope using both low and high power and reports the results."
96136,"The provider, a physician or other qualified healthcare professional, administers two or more psychological or neuropsychological tests and scores them. Report this code for the first 30 minutes of administration and scoring by any method."
99358,Report this service if the provider spends time in either preparation or evaluation of the outcome of treatment before or after a direct encounter with a patient.
92587,"Code 92587 is in the Medicine/Special Otorhinolaryngologic Services Section. It involves special procedures of the ears/nose/throat. This code is for screening purposes with interpretation and report. An OAE is a simple, noninvasive, test for hearing defects in newborn babies and young children. The healthy cochlea does not just receive sound; it also produces low–intensity sounds called OAEs. These sounds are produced specifically by the cochlea hair cells as they expand and contract."
99441,The provider performs an E/M service for an established patient through a telephone conversation lasting five to 10 minutes.
78267,The provider administers a radioactive isotope C–14 labeled solution of urea to the patient to diagnose infection of the stomach with Helicobacter pylori.
99334,No Summary found for this code
56605,"In this procedure, the provider excises suspicious tissue from a single lesion in the vulva or perineum, in the external female genital area. She submits the specimen to a laboratory for analysis and diagnosis."
95923,"In this procedure, the provider tests the sudomotor function of the autonomic nervous system to check functioning of nerves that supply sweat glands. The autonomic nervous system is that part of the nervous system that controls the blood pressure, pulse rate, sweating, and many other bodily functions."
11404,"The provider excises a noncancerous lesion, excluding a skin tag, of 3.1 to 4.0 cm in diameter, including margins, from the skin of the trunk, arms, or legs."
17340,"The provider uses cryotherapy to treat acne, typically after the acne fails to respond to topical or systemic medications."
73070,"X–rays of the extremities are performed to assess injury, fracture, arthritis, bone spurs, tumors, or congenital abnormalities. Extremity X–rays include the hand, wrist, arm, foot, ankle, hip, leg, shoulder, or knee. X–rays of the affected site focus on the specific area that is injured or damaged."
90744,This code represents a pediatric/adolescent–dosage vaccine product administered intramuscularly to protect against the liver disease hepatitis B. The vaccine has a three–dose schedule.
99423,"A physician or other qualified healthcare professional discusses, using online communication technologies, a health issue and possible treatment or management with an established patient. This code covers 21 or more minutes of cumulative time spent with the patient for a period of up to 7 days."
72120,"In this diagnostic procedure, the provider performs a two or three view radiological study of the lumbosacral spine with the patient in a bending position. He performs this lumbosacral examination to evaluate the patient's spine for the presence of abnormal curves, fractures, or cancer."
87802,"The lab analyst performs the technical lab test to analyze for the presence of Streptococcus group B by immunoassay with direct optical, meaning visual, observation."
99999,Failed to retrieve the page. Status code: 404
90887,"In this service, the provider interprets or explains the results of psychiatric exams, medical exams, other procedures, or information about the patient’s care to the patient’s family members or caregivers to give them advice on how to help care for the patient."
90679,"This code represents a prefusion F (preF) vaccine product administered into the muscle to protect against respiratory syncytial virus. It includes an adjuvant, an ingredient that helps create a stronger immune response."
99443,The provider performs an E/M service for an established patient through a telephone conversation lasting 21 to 30 minutes.
11104,The provider biopsies a skin lesion using a punch technique with a sharp hollow instrument; punch biopsies are commonly performed for deeper circular skin lesions.
73080,"X–rays of the extremities are performed to assess injury, fracture, arthritis, bone spurs, tumors, or congenital abnormalities. Extremity X–rays include the hand, wrist, arm, foot, ankle, hip, leg, shoulder, or knee. X–rays of the affected site focus on the specific area that is injured or damaged."
96160,"The provider administers a questionnaire aimed at helping to identify a specific health risk to a patient, analyzes the results, assigns a score, and documents the findings. Use this code for each standardized survey questionnaire (criteria established and agreed upon by a group of experts)."
90474,"In this procedure, the provider administers an additional live attenuated vaccine either via oral or intranasal route after the administration of the first vaccine."
73560,"In this procedure, the provider takes one or two X–ray images of a patient’s knee joint to check for any fracture, swelling, or reason for pain in the knee area."
92283,"The provider uses an optical instrument, such as a Nagel anomaloscope, that uses long wavelengths of yellow–green light, which a patient adjusts, to match a predetermined ratio of red to green light; this test is used to determine whether the patient has color blindness, typically red–green color blindness."
99188,"The provider applies a fluoride adhesive over the tooth surface to prevent tooth decay, provide remineralization, or treat hypersensitivity."
90733,The provider administers a quadrivalent meningococcal polysaccharide vaccine subcutaneously to protect against 4 strains of the bacteria that cause meningitis.
99350,The provider sees an established patient for a home or residence visit involving evaluation and management (E/M). The visit involves high medical decision making or the provider spends at least 60 minutes of total time on the encounter on a single date.
90703,No Summary found for this code
86480,"The lab analyst performs a test to evaluate a cell mediated immunity gamma interferon antigen response to certain tuberculosis, or TB, antibodies."
87420,"The lab analyst performs a test to detect antigens of respiratory syncytial virus, also called RSV, using an immunoassay technique, such as EIA."
11730,The provider removes part or all of a single nail plate using simple avulsion techniques.
90621,"The provider administers a meningococcal recombinant lipoprotein vaccine intramuscularly to prevent the patient from getting a meningococcal disease such as Neisseria meningitides, as part of a two– or three–dose schedule. The vaccine is recommended for individuals 10 years old and older who are at risk for the disease."
90630,The provider administers quadrivalent influenza vaccine intradermally. He administers the vaccine to protect the patient from infection by one or more strains of influenza virus.
86580,The lab analyst performs an intradermal skin test on a patient to test for tuberculosis.
90746,This code represents an adult–dosage vaccine product administered intramuscularly to protect against the liver disease hepatitis B. The vaccine has a three–dose schedule.
91303,No Summary found for this code
76813,"The provider uses either a transabdominal or transvaginal ultrasound to measure the fetal nuchal translucency, or the clear, fluid–filled space at the back of the neck, of the first or a single developing fetus during the first trimester to diagnose any abnormality or defect in the chromosomes of the fetus during development."
99454,The provider supplies the patient with remote physiologic monitoring equipment and receives daily recordings and/or programmed alerts. Report this code for each 30 days of equipment supply and monitoring.
72170,"In this procedure, the provider takes one or two X–ray images of the pelvic bone to check for any fracture, swelling, or reason of pain in the pelvis."
90697,"The provider administers a combination vaccine for diphtheria, tetanus toxoids, acellular pertussis, influenza, polio virus and hepatitis B through an intramuscular route to the patients."
97597,"The provider excises devitalized (dead) tissue from an open wound, choosing from a variety of techniques; treatment may include topical application of medicine or materials, wound assessment, whirlpool, and instructions for ongoing care. The dimension of the treated wound surface area measures 20 cm2 or less."
99386,The provider performs a well–patient visit for a patient who is between the ages of 40 and 64.
99343,No Summary found for this code
90480,The provider administers a single dose of a SARS–CoV–2 vaccine by intramuscular injection to reduce the patient’s risk of contracting COVID–19.
93976,"The provider performs a duplex scan of a single organ or a limited area of the abdominal, pelvic, scrotal, or retroperitoneal organs. He performs the procedure to examine the vascular supply to the organs involved as well as the venous return."
82271,The lab analyst performs the technical lab test to detect occult blood in nonfecal specimens by peroxidase activity. Occult blood is blood in small amounts that the naked eye cannot see.
99242,The provider sees a patient for an office or other outpatient consultation involving evaluation and management (E/M). The E/M involves a straightforward level of medical decision making or the provider spends at least 20 minutes of total time on the encounter on a single date.
11302,"The provider shaves off a single epidermal or dermal lesion of 1.1 to 2.0 cm in diameter from the skin of the trunk, arms, or legs."
17003,"In this add–on procedure, the provider destroys a premalignant lesion using techniques such as chemosurgery, cryosurgery, electrosurgery, or others. This code is appropriate for the second through the 14th lesion destroyed in an encounter, with one unit representing a single lesion."
99336,No Summary found for this code
90677,"This code represents a vaccine product administered intramuscularly to protect against pneumococcal disease, a bacterial infection. This is a 20–valent vaccine, protecting against 20 strains of the bacteria."
87807,"The lab analyst performs the technical lab test to analyze for the presence of respiratory syncytial virus (RSV) in a specimen by immunoassay using direct optical, meaning visual, observation."
99342,The provider sees a new patient for a home or residence visit involving evaluation and management (E/M). The visit involves a low level of medical decision making or the provider spends at least 30 minutes of total time on the encounter on a single date.
90656,"The provider injects into a patientâ€™s muscle an altered form of a preservativeâ€“free, influenza split virus, in a 0.5 mL dosage to provide immunity to three forms of influenza, a severe and infectious respiratory disease."
92551,The provider delivers a limited series of tones or sounds to a patient to determine if the patient’s hearing is in an acceptable range to detect hearing problems.
90694,"The provider injects 0.5 mL of a four–strain influenza virus vaccine into a patient’s muscle to provide immunity to four forms of influenza, a severe and infectious respiratory disease; the vaccine is free of preservatives and derived from cell cultures of a killed virus and contains a substance that increases the patient’s immune response."
81005,"The lab analyst measures the requested analyte in a urine specimen, usually an analyte that does not have a more specific analyte code, and reports the results as qualitative or semiquantitative. This code does not apply to immunoassay."
86769,"The lab analyst performs a multiple–step immunoassay to evaluate the patient’s serum for antibodies to severe acute respiratory syndrome coronavirus 2 (SARS–CoV–2), which causes coronavirus disease 2019 (COVID–19)."
99337,No Summary found for this code
12001,"This CPT code is used for the simple repair of superficial wounds to the scalp, neck, axillae, external genitalia, trunk, and/or extremities (including the hands and feet) that are 2.5 cm or less in size."
